IdImdb	Title	ReleaseYear	Genres	ImdbRating	Votes
tt0000009	Miss Jerry	1894	Romance	5.5	70
tt0000147	The Corbett-Fitzsimmons Fight	1897	Documentary,News,Sport	5.2	267
tt0000335	Soldiers of the Cross	1900	Biography,Drama	6.2	35
tt0000574	The Story of the Kelly Gang	1906	Biography,Crime,Drama	6.3	476
tt0000615	Robbery Under Arms	1907	Drama	5.1	13
tt0000630	Hamlet	1908	Drama	3.1	10
tt0000675	Don Quijote	1908	Drama	4.9	9
tt0000676	Don Álvaro o la fuerza del sino	1908	Drama	4.1	7
tt0000679	The Fairylogue and Radio-Plays	1908	Adventure,Fantasy	5.9	26
tt0000739	El pastorcito de Torrente	1908	Drama	6.9	7
